螺旋帕帕|沉船漩涡魔力之源
帕帕斯卡|螺旋帕帕36级
机械方方|拾荒港口魔力之源-北-智慧树苗-果实
多彩方方|机械方方28级
立方人|多彩方方40级
可立鸡|信仰者村落魔力之源
晕晕鸡|可立鸡16级
绅士鸡|晕晕鸡36级
武者鸡|晕晕鸡击败3次恶系精灵
优优|圣所前哨魔力之源-东南-河边
绒光优优|优优36级
噼啪鸟|圣所前哨-东-智慧树苗-果实
深蓝鲸|沉船漩涡魔力之源-西北-智慧树苗-果实
格兰种子|回填山洞魔力之源
格兰花|格兰种子16级
格兰球|格兰花32级
地鼠|风息山口魔力之源-东北-河边
遁鼠|地鼠16级
遁地鼠|遁鼠36级
墨鱿士|圣所前哨魔力之源-南-智慧树苗-果实
混乱鱿彩|击败3次萌系精灵、墨鱿土32级
秩序鱿墨|击败3次恶系精灵、墨鱿土32级
小甲虫|独角兽领地魔力之源附近
铠甲虫|小甲虫40级
圣剑侍从|风息山口魔力之源-东-智慧树苗-果实
圣剑-X|圣剑侍从40级
吸泥鸥|恶水沼泽、黑水峡-水边
泥吼牙|吸泥鸥36级
大头骨龙|恶水沼泽、黑水峡魔力之源附近
寂灭骨龙|大头骨龙40级
厉毒小萝|恶水沼泽魔力之源附近
厉毒修萝|厉毒小萝40级
小帕尔|S1赛季任务获取
迪莫|主线剧情（人手一只）
喵喵|新手御三家/好友世界捕捉
喵呜|喵喵16级
魔力猫|喵呜32级
火花|新手御三家/好友世界捕捉
焰火|火花16级
火神|焰火36级
水蓝蓝|新手御三家/好友世界捕捉
波波拉|水蓝蓝16级
水灵|波波拉36级
鸭吉吉|风眠圣所
板板壳|轻风山、商业街周边
咔咔壳|板板壳16级
水泡壳|咔咔壳36级
锥尾羊|清风山、风眠圣所
铃兰羊|锥尾羊20级
花影羚羊|铃兰羊32级
雪绒鸟|孵蛋
冬羽雀|轻风山、叽叽喳喳台地
岚鸟|冬羽雀30级
小灵菇|清风山、夜晚聆风塔地
幻灵菇|小灵菇20级
幻影灵菇|幻灵菇32级
石肤蜥|清风山、白天月牙湖岸
石刺蜥|石肤蜥32级
石冠王蜥|石刺蜥48级
布是石|清风山、风息山口、风眠圣所
布是岩|布是石16级
布克棱岩|布是岩32级
恶魔叮|清风山、夜晚奥贝斯坦湖
叮叮恶魔|恶魔叮40级
蹦蹦种子|月牙湖岸、白天聆风塔地
蹦蹦草|蹦蹦种子16级
蹦蹦花|蹦蹦草32级
电咩咩|月牙湖岸、聆风塔地
粉咩咩|电咩咩30级
电球咩咩|粉咩咩42级
蒲公英|孵蛋
蒲公英娃娃|奥贝斯坦湖、月牙湖岸
伊贝儿|奥贝斯坦湖
伊贝粉粉|伊贝儿28级雨天
白发懒人|月牙湖岸、叽叽喳喳台地
动力猿|白发懒人18级
瞌睡王|动力猿36级
海盔虫|商业街周边、月牙湖岸
刺盔虫|海盔虫26级
千棘盔|刺盔虫42级
菊花梨|月牙湖岸、聆风塔地
小星光|聆风塔地、风息山口
星光狮|小星光狮30级
一窝蜂|挽风屏障、旧飞行航道
黄蜂后|雌性一窝蜂21级
花魁蜂后|雌性黄蜂后38级
小夜|夜晚奥贝斯坦湖
紫夜|雌性小夜26级
朔夜伊芙|雌性紫夜44级
乖乖鹄|奥贝斯坦湖
蓝珠天鹅|乖乖鸫20级
翠顶夫人|蓝珠天鹅40级
黑羽夫人|恶系血脉药水蓝珠天鹅40级
锤头鹳|奥贝斯坦湖
绿草精灵|奥贝斯坦湖
魔草巫灵|绿草精灵32级
记忆石|奥贝斯坦湖、叽叽喳喳台地
咔咔羽毛|奥贝斯坦湖-南-智慧树苗-果实
咔咔雀|咔咔羽毛18级
咔咔鸟|咔咔雀36级
小草虫|旧飞艇航道-石像触发
草衣虫|小草虫20级
花衣蝶|草衣虫36级
绿翼鸟|白天风眠圣所
魔翼鸟|绿翼鸟20级
魔眷鸟|魔翼鸟36级
阿米亚特|风眠圣所
阿米樱|阿米亚特30级
罗隐|阿米樱50级
风铃鲨|挽风屏障-下游
蓝蝶鲨|风铃鲨32级
彩蝶鲨|蓝蝶鲨50级
石石|晨曦山-触发石像
巨灵石|石石40级
仪使者|旧飞艇航道-南-智慧树苗-果实
仪式之星|仪使者35级
仪式巨像|仪式之星45级
小独角兽|独角兽领地、叽叽喳喳台地
白金独角兽|小独角兽40级
旋叶虫|叽叽喳喳台地-枯树
蓬叶虫|旋叶虫25级
风滚暮虫|蓬叶虫35级-跟随
小黑猫|叽叽喳喳台地-智慧树苗-果实
黑猫巫师|小黑猫40级
忽幽狸|孵蛋
影狸|随机偶遇
多多|独角兽领地
多啦多|多多16级
古啦多|多啦多36级
哭哭菇|圣羽祭台
怖须菇|哭哭菇26级
怖哭菇|怖须菇38级
恶魔狼|夜晚岚语峰
小电企鹅|岚语峰
电企鹅|小电企鹅40级
雪豆丁|岚语峰-西、星霜崖地
雪蛮人|雪豆丁28级
雪巨人|雪蛮人40级
呼呼猪|岚语峰-西、星霜崖地
獠牙猪|呼呼猪33级
雪娃娃|岚语峰-西、星霜崖地
冰封怨灵|雪娃娃26级
雪灵|冰封怨灵42级
大耳帽兜|星霜崖地-智慧树苗-果实
帽兜娃娃|大耳帽兜32级
雪影娃娃|帽兜娃娃48级
权杖-Ⅱ|岚语峰-西
权杖-Ⅴ|权杖-Ⅱ40级
灵狐|岚语峰-西
九尾狐|灵狐30级
尖嘴狐仙|九尾狐50级
里奥|击败羽翼圣王BOSS
灵羽勇士|里奥28级-放生两只拿突破材料-升星
圣羽翼王|灵羽骑士40级-升两星
松仔|解锁魔法学院章节任务三选一/好友世界捕捉
松叶羊|松仔16级
针叶巡林|松叶羊36级
小勇狮|解锁魔法学院章节任务三选一/好友世界捕捉
炽焰狮|小勇狮16级
炽心勇狮|炽焰狮36级
水滴蛇|解锁魔法学院章节任务三选一/好友世界捕捉
水蛇锁|水滴蛇16级
游蛇魔使|水蛇锁36级
帕尔萨斯|小帕尔28级-升1星
龙息帕尔|帕尔萨斯40级-升2星
毛头小蛛|魔法学院-生态广场
捕尘长绒|毛头小蛛身高大于0.375-30级
捕尘长绒|毛头小蛛身高小于0.375-30级
画精灵|魔法学院-生态广场地下-楼梯两边的壁画里
画像守护|画精灵16级
画间法师手|画像守护击败3次武系精灵-36级
画间沉铁兽|画像守护击败3次幻系精灵-36级
书魔虫|魔法学院-生态广场地下-书堆
书卷守护|书魔虫16级
古卷执政官|书卷守护击败3次武系精灵-36级
古卷匣魔像|书卷守护击败3次幻系精灵-36级
绒绒|大月卡，好友世界捕捉
小绒茧|绒绒放入背包累计获得1200星光-27级
绒仙子|小绒茧47级
犀角鸟|大月卡，好友世界捕捉
光纤兽|犀角鸟放入背包累计获得1200星光-27级
疾光千兽|光纤兽47级
果冻|彼得大道找神秘魔法师接任务
抹茶布丁|果冻改草系血脉-30级
椰浆布丁|果冻改冰系血脉-30级
熔岩布丁|果冻改火系血脉-30级
星尘虫|星尘虫仅在洛克里安连续捕捉时刷出
落星虫|星尘虫30级
陨星虫|落星虫42级
双灯鱼|野外连续捕捉水系、电系精灵刷取
利灯鱼|双灯鱼30级
月牙雪熊|野外连续捕捉冰系、幻系精灵刷取
嗜光嗡嗡|野外连续捕捉恶系、光系精灵刷取
窃光蚊|嗜光嗡嗡28级
柴渣虫|野外连续捕捉火系、草系精灵刷取
燃薪虫|柴渣虫触发3次燃烧-40级
空空颅|野外连续捕捉幽系精灵刷取
夜宿颅|空空颅勾魂技能击败3次-30级
夜枭|夜宿颅50级
粉粉星|野外连续捕捉电系、幻系精灵刷取
小皮球|粉粉星32级
贝瑟|野外连续捕捉机械系、火系精灵刷取
贝加尔|贝瑟28级
贝古斯|贝加尔48级
粉星仔|野外连续捕捉幻系精灵刷取
粉耳星兔|粉星仔32级
呆小路|圣所前哨、采邑地
舞动路路|呆小路26级
白发路路|舞动路路40级
逗逗|甜水农庄、银河蛇口
气球猫|逗逗20级
梦想三三|气球猫32级
花怨鳗|洛克里安-甜水农庄魔力之源附近
鳗尾兽|花怨鳗26级
伊雷龙|银蛇河口击败伊兰龙BOSS、
伊兰亚龙|伊雷龙40级
拉特|雨天监管区
酷拉|拉特40级
闪电环|雨天望风半岛-北
刺电环|闪电环28级
荆棘电环|刺电环40级
小箱怪|拾荒港口-北
迷迷箱怪|小箱怪36级
古钟蛇|望风半岛、监管区
寒音蛇|古钟蛇38级
矮脚爬爬|监管区、恶水沼泽
恶魔红钻|矮脚爬爬36级
火尾瓦特|晨曦山、监管区
火尾战士|火尾瓦特20级
烈火守护|火尾战士40级
里拉鳐|向日葵海岸-海上浪花基地-下方
海枝枝|多种形态，守护者遗迹可获得一颗海枝枝的蛋
多西|二叠山丘-地下-智慧树苗-果实
库多西|多西32级
波多西|库多西48级
小翼龙|圣所前哨-西-智慧树苗-果实
翼龙|小翼龙40级
电动长颈鹿|彼得大道-东-首领波普鹿附近
奔乐鹿|电动长颈鹿28级
公平鸽|圣所前哨
小怂猫|拾荒港口、望风半岛
怒目怂猫|小怂猫37级
小狮鹫|港口驻地-北
神圣狮鹫|小狮鹫32级
皇家狮鹫|神圣狮鹫46级
圆眼蜘蛛|港口驻地、望风半岛
尖角蜘蛛|圆眼蜘蛛24级
芋香巨角蛛|尖角蜘蛛40级
波波螺|监管区
消波螺|波波螺16级
嗜波螺|消波螺40级
菇菇丁|圣所前哨、月兔暗港
多菇丁|菇菇丁36级-下雨天
九幽菇|多菇丁48级
斑斑|港口驻地、夜晚望风半岛
斑枭|斑斑30级
草头鸭|捞船镇
卷毛鸭|草头鸭40级
海豹战士|海上浪花基地
海豹船长|海豹战士40级
号儿鱼|监管区-南
圆号鱼|号儿鱼36级
甜田螺|二叠山丘
壳乙螺|甜田螺32级
卡洛儿|壳乙螺44级
棋棋|二叠山丘
棋骑士|二叠山丘
